武器名,画像パス,響玉,特殊旋律,旋律1,旋律2,旋律3,旋律4,旋律5,旋律6,旋律7,旋律8
クイーンリコーダー,,体力継続回復,生命の調べ,自分強化,攻撃力UP【大】,体力回復【小】,体力回復加速【大】,響周波【打】,なし,なし,なし
火竜笛アンビシオン,,回避性能&移動速度UP,相殺の調べ,自分強化,スタミナ節約【長】,防御力UP【大】,風圧完全無効,攻撃＆防御強化【小】,響周波【火】,なし,なし
サウンドofソロウ,simulator_images/huntinghorn-21.webp,回避性能&移動速度UP,生命の調べ,自分強化,体力回復【小】,聴覚保護【大】,会心率UP＆体力回復,響周波【打】,なし,なし,なし
なるかみの音鈴の乙鳴,,スタミナ継続回復,生命の調べ,自分強化,体力回復【小】,聴覚保護【大】,会心率UP＆体力回復,響周波【水】,なし,なし,なし
熾光たるガヴリア,simulator_images/huntinghorn-23.webp,体力継続回復,相殺の調べ,自分強化,スタミナ節約【長】,防御力UP【大】,風圧完全無効,攻撃＆防御強化【小】,響周波【打】,なし,なし
オミリティカ【無】,,状態異常&属性やられ無効,相殺の調べ,自分強化,スタミナ節約【長】,防御力UP【大】,風圧完全無効,攻撃＆防御強化【小】,響周波【打】,なし,なし
オミリティカ【火】,,状態異常&属性やられ無効,響鳴の調べ,自分強化,属性攻撃力UP,全属性やられ無効,高周波,斬れ味回復,響周波【火】,なし,なし
オミリティカ【水】,,状態異常&属性やられ無効,響鳴の調べ,自分強化,属性攻撃力UP,全属性やられ無効,高周波,斬れ味回復,響周波【水】,なし,なし
オミリティカ【雷】,,状態異常&属性やられ無効,響鳴の調べ,自分強化,属性攻撃力UP,全属性やられ無効,高周波,斬れ味回復,響周波【雷】,なし,なし
オミリティカ【氷】,,状態異常&属性やられ無効,響鳴の調べ,自分強化,属性攻撃力UP,全属性やられ無効,高周波,斬れ味回復,響周波【氷】,なし,なし
オミリティカ【龍】,,状態異常&属性やられ無効,響鳴の調べ,自分強化,属性攻撃力UP,全属性やられ無効,高周波,斬れ味回復,響周波【龍】,なし,なし
オミリティカ【毒】,,防御力&属性耐性UP,相殺の調べ,自分強化,状態異常攻撃力UP,精霊王の加護,全状態異常無効,響周波【毒】,なし,なし,なし
オミリティカ【麻痺】,,防御力&属性耐性UP,相殺の調べ,自分強化,状態異常攻撃力UP,精霊王の加護,全状態異常無効,響周波【麻痺】,なし,なし,なし
オミリティカ【睡眠】,,防御力&属性耐性UP,相殺の調べ,自分強化,状態異常攻撃力UP,精霊王の加護,全状態異常無効,響周波【睡眠】,なし,なし,なし
オミリティカ【爆破】,,防御力&属性耐性UP,相殺の調べ,自分強化,状態異常攻撃力UP,精霊王の加護,全状態異常無効,響周波【爆破】,なし,なし,なし
